Recipe_ID,Source,Cuisine,Sub-Category,Dish Name,Servings,Calories per Serving,Total Fat (g),Saturated Fat (g),Monounsaturated Fat (g),Polyunsaturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Potassium (mg),Total Carbohydrate (g),Dietary Fiber (g),Sugars (g),Protein (g),Image URL,Item Page Link
60,Rishi,Cocktails,Drinks,Cocktail: Scotch Cobbler,1,139,0,0,0,0,0,0,0,0,4,0,4,0,https://mixthatdrink.com/wp-content/uploads/2010/08/scotch-cobbler-drink-fb.jpg,https://www.myfitnesspal.com/recipe/view/172913012404013
70,Rishi,Italian/Western,Pasta,Roasted Fennel with Parmesan Bread Crumbs,2,302,16,3,9,3,0,12,1167,1375,23,10,0,9,"https://res.cloudinary.com/hksqkdlah/image/upload/ar_1:1,c_fill,dpr_2.0,f_auto,fl_lossy.progressive.strip_profile,g_faces:auto,q_auto:low,w_270/SFS_RoastedFennelParm-1754_vptdqz",https://www.myfitnesspal.com/recipe/view/173190163713709
113,Rishi,Cocktails,Drinks,Cocktail: Boulevardier,2,174,0,0,0,0,0,0,2,2,11,0,11,0,https://s3.amazonaws.com/mscwordpresscontent/wa/wp-content/uploads/2018/12/boulevardier-cocktail-recipe_1600.jpg,https://www.myfitnesspal.com/recipe/view/199730754670141
78,Rishi,Indian,Curry,Zucchini/Courgette Chana dal Curry (Zucchini Senagapappu Kura):,4,142,6,0,1,1,0,0,454,45,8,5,5,8,https://veggibites.blogspot.com//3.bp.blogspot.com/-YVJD-xZboiM/Wpm1MRCCL4I/AAAAAAAABho/_ce1W2fbQDgY0rDFlFpF6cZRxNceyAX7gCK4BGAYYCw/s400/Veggibites%2B%25282%2529.png,https://www.myfitnesspal.com/recipe/view/270093098291133
215,Marion,Soups/Stews,Soups/Stews,Green Lentil Soup with Coconut Milk and Indian Spices,4,383,19,14,3,0,0,11,13901,633,19,18,4,14,https://www.abeautifulplate.com/wp-content/uploads/2014/10/green-lentil-soup-with-coconut-milk-and-indian-spices-1.jpg,https://www.myfitnesspal.com/recipe/view/18588236771309
223,Rishi,Indian,Breakfast,Pesarattu recipe,4,145,3,0,1,1,0,0,150,28,22,4,1,9,https://www.indianhealthyrecipes.com/wp-content/uploads/2014/11/pesarattu-recipe.jpg,https://www.myfitnesspal.com/recipe/view/230508511169645
228,Marion,Italian,,AOP,1,660,42,6,30,4,0,0,592,112,58,3,3,13,https://www.indianhealthyrecipes.com/wp-content/uploads/2021/07/drumstick-leaves-recipe-moringa-leaves-recipe.jpg,https://www.myfitnesspal.com/recipe/view/194344614047293
104,Rishi,Cocktails,Drinks,Cocktail: The Precision Timepiece,1,220,0,0,0,0,0,0,0,2,20,0,7,0,"https://www.liquor.com/thmb/4C2Epdp1T1-ulvxsawg9Yvdha4k=/1200x628/filters:fill(auto,1)/Precision-Timepiece-fb_1200x628-bf96309343a247f4b0bdd7de8255479a.jpg",https://www.myfitnesspal.com/recipe/view/207951376551533
63,Rishi,Cocktails,Drinks,Cocktail: Manhattan,1,168,0,0,0,0,0,0,0,0,5,0,4,0,"https://www.liquor.com/thmb/6DfPgZNzIKFZHoG244MCI4Rw0fc=/720x720/filters:fill(auto,1)/__opt__aboutcom__coeus__resources__content_migration__liquor__2018__05__10144903__Manhattan-720x720-recipe-9497922907c14d91898f557cb51f2ea3.jpg",https://www.myfitnesspal.com/recipe/view/278597255212285
87,Rishi,Cocktails,Drinks,Cocktail: Proper Manhattan,1,147,0,0,0,0,0,0,0,0,4,0,2,0,"https://www.liquor.com/thmb/6DfPgZNzIKFZHoG244MCI4Rw0fc=/720x720/filters:fill(auto,1)/__opt__aboutcom__coeus__resources__content_migration__liquor__2018__05__10144903__Manhattan-720x720-recipe-9497922907c14d91898f557cb51f2ea3.jpg",https://www.myfitnesspal.com/recipe/view/159858450894397
